table_name,grantee,privilege_type,is_grantable
course_access,anon,DELETE,NO
course_access,anon,INSERT,NO
course_access,anon,REFERENCES,NO
course_access,anon,SELECT,NO
course_access,anon,TRIGGER,NO
course_access,anon,TRUNCATE,NO
course_access,anon,UPDATE,NO
course_access,authenticated,DELETE,NO
course_access,authenticated,INSERT,NO
course_access,authenticated,REFERENCES,NO
course_access,authenticated,SELECT,NO
course_access,authenticated,TRIGGER,NO
course_access,authenticated,TRUNCATE,NO
course_access,authenticated,UPDATE,NO
course_access,postgres,DELETE,YES
course_access,postgres,INSERT,YES
course_access,postgres,REFERENCES,YES
course_access,postgres,SELECT,YES
course_access,postgres,TRIGGER,YES
course_access,postgres,TRUNCATE,YES
course_access,postgres,UPDATE,YES
course_access,service_role,DELETE,NO
course_access,service_role,INSERT,NO
course_access,service_role,REFERENCES,NO
course_access,service_role,SELECT,NO
course_access,service_role,TRIGGER,NO
course_access,service_role,TRUNCATE,NO
course_access,service_role,UPDATE,NO
hotmart_events,anon,DELETE,NO
hotmart_events,anon,INSERT,NO
hotmart_events,anon,REFERENCES,NO
hotmart_events,anon,SELECT,NO
hotmart_events,anon,TRIGGER,NO
hotmart_events,anon,TRUNCATE,NO
hotmart_events,anon,UPDATE,NO
hotmart_events,authenticated,DELETE,NO
hotmart_events,authenticated,INSERT,NO
hotmart_events,authenticated,REFERENCES,NO
hotmart_events,authenticated,SELECT,NO
hotmart_events,authenticated,TRIGGER,NO
hotmart_events,authenticated,TRUNCATE,NO
hotmart_events,authenticated,UPDATE,NO
hotmart_events,postgres,DELETE,YES
hotmart_events,postgres,INSERT,YES
hotmart_events,postgres,REFERENCES,YES
hotmart_events,postgres,SELECT,YES
hotmart_events,postgres,TRIGGER,YES
hotmart_events,postgres,TRUNCATE,YES
hotmart_events,postgres,UPDATE,YES
hotmart_events,service_role,DELETE,NO
hotmart_events,service_role,INSERT,NO
hotmart_events,service_role,REFERENCES,NO
hotmart_events,service_role,SELECT,NO
hotmart_events,service_role,TRIGGER,NO
hotmart_events,service_role,TRUNCATE,NO
hotmart_events,service_role,UPDATE,NO
hotmart_product_grants,postgres,DELETE,YES
hotmart_product_grants,postgres,INSERT,YES
hotmart_product_grants,postgres,REFERENCES,YES
hotmart_product_grants,postgres,SELECT,YES
hotmart_product_grants,postgres,TRIGGER,YES
hotmart_product_grants,postgres,TRUNCATE,YES
hotmart_product_grants,postgres,UPDATE,YES
hotmart_product_grants,service_role,DELETE,NO
hotmart_product_grants,service_role,INSERT,NO
hotmart_product_grants,service_role,REFERENCES,NO
hotmart_product_grants,service_role,SELECT,NO
hotmart_product_grants,service_role,TRIGGER,NO
hotmart_product_grants,service_role,TRUNCATE,NO
hotmart_product_grants,service_role,UPDATE,NO
hotmart_purchases,postgres,DELETE,YES
hotmart_purchases,postgres,INSERT,YES
hotmart_purchases,postgres,REFERENCES,YES
hotmart_purchases,postgres,SELECT,YES
hotmart_purchases,postgres,TRIGGER,YES
hotmart_purchases,postgres,TRUNCATE,YES
hotmart_purchases,postgres,UPDATE,YES
hotmart_purchases,service_role,DELETE,NO
hotmart_purchases,service_role,INSERT,NO
hotmart_purchases,service_role,REFERENCES,NO
hotmart_purchases,service_role,SELECT,NO
hotmart_purchases,service_role,TRIGGER,NO
hotmart_purchases,service_role,TRUNCATE,NO
hotmart_purchases,service_role,UPDATE,NO
hotmart_webhook_events,postgres,DELETE,YES
hotmart_webhook_events,postgres,INSERT,YES
hotmart_webhook_events,postgres,REFERENCES,YES
hotmart_webhook_events,postgres,SELECT,YES
hotmart_webhook_events,postgres,TRIGGER,YES
hotmart_webhook_events,postgres,TRUNCATE,YES
hotmart_webhook_events,postgres,UPDATE,YES
hotmart_webhook_events,service_role,DELETE,NO
hotmart_webhook_events,service_role,INSERT,NO
hotmart_webhook_events,service_role,REFERENCES,NO
hotmart_webhook_events,service_role,SELECT,NO
hotmart_webhook_events,service_role,TRIGGER,NO
hotmart_webhook_events,service_role,TRUNCATE,NO
hotmart_webhook_events,service_role,UPDATE,NO
